date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,umich_sentiment,vix,sent_vix_gap
2023-12-15,456.915789,458.093403,454.910964,456.760071,141553700,-0.001648,69.7,12.7185,-1.599692
2023-12-18,458.365961,460.312396,457.305158,459.329437,70375300,0.005609,69.7,12.7185,-1.599692
2023-12-19,459.874429,462.200433,459.796584,462.122559,55761800,0.006062,69.7,12.7185,-1.599692
2023-12-20,461.266133,463.154177,455.290593,455.718811,102921000,-0.013954,69.7,12.7185,-1.599692
2023-12-21,458.706554,460.312386,456.283252,460.039886,86667500,0.009437,69.7,12.7185,-1.599692
2023-12-22,461.168814,462.648124,459.066691,460.964447,67160400,0.002008,69.7,12.7185,-1.599692
2023-12-26,461.373188,463.815943,461.295314,462.910858,55387000,0.004214,69.7,12.7185,-1.599692
2023-12-27,462.706484,463.89381,462.171226,463.747833,68000300,0.001806,69.7,12.7185,-1.599692
2023-12-28,464.107918,464.759957,463.504528,463.923004,77158100,0.000378,69.7,12.7185,-1.599692
2023-12-29,463.728376,464.253922,460.62381,462.579987,122283100,-0.002899,69.7,12.7185,-1.599692
2024-01-02,459.514344,460.983912,457.889058,459.991211,123623700,-0.005612,79.0,13.388636,-0.816264
2024-01-03,457.83065,458.570304,455.631199,456.234589,103585900,-0.0082,79.0,13.388636,-0.816264
2024-01-04,455.757686,458.346447,454.541164,454.765015,84232200,-0.003226,79.0,13.388636,-0.816264
2024-01-05,454.969433,457.840437,453.937825,455.387939,86118900,0.001369,79.0,13.388636,-0.816264
2024-01-08,455.884213,462.034954,455.75769,461.888977,74879100,0.014175,79.0,13.388636,-0.816264
2024-01-09,459.232086,462.210129,458.726024,461.188263,65931400,-0.001518,79.0,13.388636,-0.816264
2024-01-10,461.460762,464.662656,461.178521,463.796478,67310600,0.005639,79.0,13.388636,-0.816264
2024-01-11,464.798943,465.314747,459.611707,463.592163,77940700,-0.000441,79.0,13.388636,-0.816264
2024-01-12,465.042205,465.78186,462.502122,463.913269,58026400,0.000692,79.0,13.388636,-0.816264
2024-01-16,462.531322,463.845142,460.390232,462.210144,85014900,-0.003678,79.0,13.388636,-0.816264
2024-01-17,459.183486,460.127508,457.2857,459.6409,68843900,-0.005574,79.0,13.388636,-0.816264
2024-01-18,461.314772,464.283074,459.76736,463.728333,91856200,0.008853,79.0,13.388636,-0.816264
2024-01-19,464.857299,469.791519,463.777042,469.509277,110834500,0.012389,79.0,13.388636,-0.816264
2024-01-22,471.046983,472.224568,469.849915,470.501984,75844900,0.002112,79.0,13.388636,-0.816264
2024-01-23,471.046995,472.117511,469.956997,471.874207,49945300,0.002912,79.0,13.388636,-0.816264
2024-01-24,474.745184,475.679465,471.893664,472.390015,81765000,0.001093,79.0,13.388636,-0.816264
2024-01-25,474.52136,475.23182,472.390041,474.95932,72525000,0.005424,79.0,13.388636,-0.816264
2024-01-26,474.531068,476.020089,473.509202,474.355896,76641600,-0.001271,79.0,13.388636,-0.816264
2024-01-29,474.66738,478.258555,474.122381,478.112549,61322800,0.007888,79.0,13.388636,-0.816264
2024-01-30,477.421497,478.453105,476.983538,477.742676,58618400,-0.000774,79.0,13.388636,-0.816264
2024-01-31,475.533494,475.981165,469.927752,469.947235,126011100,-0.016452,79.0,13.388636,-0.816264
2024-02-01,471.650351,476.127157,470.842564,476.097961,91891600,0.013003,76.9,13.980476,-0.875143
2024-02-02,476.535882,482.764468,476.19525,481.110016,99228200,0.010472,76.9,13.980476,-0.875143
2024-02-05,480.477439,481.13922,477.100374,479.358215,75757100,-0.003648,76.9,13.980476,-0.875143
2024-02-06,480.302268,481.08086,478.871637,480.749969,55918600,0.002899,76.9,13.980476,-0.875143
2024-02-07,482.998122,485.17812,482.093007,484.759644,70556500,0.008306,76.9,13.980476,-0.875143
2024-02-08,484.759585,485.353233,483.942086,484.973694,52343600,0.000441,76.9,13.980476,-0.875143
2024-02-09,485.479772,488.214511,485.13914,487.776581,63979400,0.005763,76.9,13.980476,-0.875143
2024-02-12,487.747414,490.014997,486.842299,487.5625,56502300,-0.000439,76.9,13.980476,-0.875143
2024-02-13,481.28525,483.776684,477.577293,480.84729,113099200,-0.013869,76.9,13.980476,-0.875143
2024-02-14,483.484654,485.703589,481.158651,485.21698,68387800,0.009046,76.9,13.980476,-0.875143
2024-02-15,485.917728,488.749794,485.440831,488.56488,61683000,0.006876,76.9,13.980476,-0.875143
2024-02-16,488.263184,489.401832,485.392181,486.131836,75532900,-0.004992,76.9,13.980476,-0.875143
2024-02-20,484.389816,485.061339,481.207406,483.455536,71736700,-0.005521,76.9,13.980476,-0.875143
2024-02-21,482.151425,484.049181,480.341225,483.893463,59293400,0.000905,76.9,13.980476,-0.875143
2024-02-22,490.511287,494.871282,489.547782,493.907806,76402500,0.020484,76.9,13.980476,-0.875143
2024-02-23,495.630396,496.467378,493.518531,494.248444,61321800,0.000689,76.9,13.980476,-0.875143
2024-02-26,494.686393,495.124352,492.31174,492.438263,50386700,-0.003669,76.9,13.980476,-0.875143
2024-02-27,493.129237,493.576909,491.231451,493.353058,48854500,0.001856,76.9,13.980476,-0.875143
2024-02-28,491.795905,493.284926,491.435819,492.701019,56506600,-0.001323,76.9,13.980476,-0.875143
2024-02-29,494.462609,496.087865,491.815456,494.472321,83924800,0.003589,76.9,13.980476,-0.875143
